No,Judul,Episode,Rating,Views
1,A beautiful mind 2016,18,8.4,177
2,A Gentleman's Dignity,20,8.3,156
3,A Korean Odyssey,20,8.3,136
4,A Love To Kill,16,7.4,133
5,A Piece of Your Mind,12,8.2,146
6,A Pledge to God,48,7.8,236
7,A Poem a Day,16,8.0,142
8, A-Teen,20,8.2,125
9, A-Teen,24,8.3,203
10,About Is Love,30,8.0,156
11,About Time,16,7.5,149
12,Abyss,16,7.8,142
13,Accidentally in Love,30,8.0,209
14,Adventurous Romance,12,6.7,202
15,Afro Tanaka,10,7.2,336
16,After School: Lucky or Not,12,7.6,250
17,Age of Youth,12,8.7,232
18,Age of Youth 2,14,8.6,168
19,Aishite tatte Himitsu wa Aru,10,8.0,433
20,Akagi,10,7.8,7006
21,Aku no Hado,5,7.9,348
22,Algernon Ni Hanataba O,10,8.2,15052
23,All About My Romance,16,7.6,144
24,Amachan,156,8.5,8981
25,Anata no Ban Desu - Counterattack,10,8.3,583
26,Anata no Koto wa Sore Hodo,10,6.8,344
27,Andante,16,7.5,111
28,Angel Eyes,20,7.5,142
29,Angel Heart,9,7.5,6504
30,Angel's Last Mission: Love,32,8.5,148
31,Angry Mom,16,8.4,204
32,Ani ni Aisaresugite Komattemasu,5,9.1,22300
33,Ani Tomo,4,6.3,14170
34,Anone,10,9.3,20851
35,Another Miss Oh,18,8.3,117
36,Ao to Boku,6,7.5,371
37,Aogeba Toutoshi,8,8.2,7223
38,Suizokukan Garu,7,7.7,6966
39,Arang and the Magistrate,20,8.0,121
40,Are You Human Too?,36,8.4,152
41,Argon,8,8.2,107
42,Arthdal Chronicles Part 1: The Children of Prophecy,6,8.5,122
43,Ashita no Yakusoku,10,7.8,290
44,Atama ni Kitemo Aho towa Tatakauna!,10,7.3,1566
45,Atashinchi no Danshi,11,7.8,2053
46,Avengers Social Club,12,8.7,120
47,Awl,12,8.0,68
48,Babysitter,10,7.5,314
49,BACK STREET GIRLS - Gokudoruzu,6,7.3,382
50,Bad Guys,11,8.6,139
51,Bad Guys: City of Evil,16,7.9,159
52,Bad Papa,16,7.8,138
53,Bad Thief Good Thief,50,7.7,171
